effect,component,group,term,estimate,std.error,statistic,p.value,Species
fixed,cond,NA,(Intercept),-2.6053766717289277,0.5089211260573141,-5.119411512572015,3.0649053271153204e-7,ATTW
fixed,cond,NA,BHCCMF,0.6485768011360724,0.5713339467801789,1.1351973828812465,0.2562926258259943,ATTW
fixed,cond,NA,BHCDSH,-1.534650609291556,1.1569462679964724,-1.3264666231640718,0.18468518360499572,ATTW
fixed,cond,NA,BHCDYF,-1.7371618164610894,0.8552641053851017,-2.0311407967704826,0.042240713991989025,ATTW
fixed,cond,NA,BHCDMF,-0.1606463853202488,0.5948600277889353,-0.2700574552258341,0.7871160521866428,ATTW
fixed,cond,NA,BHCRSH,-1.7130958843225723,1.1422478505261837,-1.4997584661975278,0.13367697962702146,ATTW
fixed,cond,NA,BHCRYF,-1.467759888020897,1.1626225945690243,-1.2624560152858417,0.20678474393130103,ATTW
fixed,cond,NA,BHCRMF,-0.47363888060511006,0.6901580071102809,-0.6862760059660178,0.49253907653366075,ATTW
fixed,cond,NA,BHCWRI/WSH,-0.43383966401432533,0.9470570384321346,-0.45809243415006196,0.6468860343006421,ATTW
ran_pars,cond,Station,sd__(Intercept),1.347906331067032,NA,NA,NA,ATTW
effect,component,group,term,estimate,std.error,statistic,p.value,Species
fixed,cond,NA,(Intercept),-25.506678143977222,40520.59361582126,-6.294744441754216e-4,0.9994977520927407,BBWO
fixed,cond,NA,BHCCMF,21.499345152201165,40520.59362817306,5.305782375619777e-4,0.9995766598358139,BBWO
fixed,cond,NA,BHCDSH,-1.7044105836998036,153453.6731834896,-1.1107004142297617e-5,0.9999911378928783,BBWO
fixed,cond,NA,BHCDYF,-4.348968591049601,355866.33326455316,-1.2220792428309177e-5,0.999990249218401,BBWO
fixed,cond,NA,BHCDMF,21.28717088746597,40520.593628155155,5.253420293594831e-4,0.9995808377249136,BBWO
fixed,cond,NA,BHCRSH,-2.3718198262102552,192904.7383727956,-1.2295290650801045e-5,0.9999901897774194,BBWO
fixed,cond,NA,BHCRYF,-1.6307831782652238,153189.58495360258,-1.064552253182975e-5,0.9999915061019303,BBWO
fixed,cond,NA,BHCRMF,-3.1614151251886637,243150.90132043278,-1.3001864718660615e-5,0.9999896260128797,BBWO
fixed,cond,NA,BHCWRI/WSH,-1.6366021760166818,175712.6838115611,-9.314081035674222e-6,0.9999925684385437,BBWO
ran_pars,cond,Station,sd__(Intercept),5.008346166624366e-11,NA,NA,NA,BBWO
effect,component,group,term,estimate,std.error,statistic,p.value,Species
fixed,cond,NA,(Intercept),-3.619613223651282,0.7594892303119811,-4.765851942580445,1.8805732122928698e-6,DOWO
fixed,cond,NA,BHCCMF,-28.32284797771941,753730.3846758384,-3.757689560292888e-5,0.9999700179751626,DOWO
fixed,cond,NA,BHCDSH,-20.358545921498497,19028.76151604862,-0.0010698828667503322,0.999146357141606,DOWO
fixed,cond,NA,BHCDYF,0.26397208395864535,0.7402142398422792,0.35661578736298166,0.7213794569959342,DOWO
fixed,cond,NA,BHCDMF,-0.5864342543381155,0.8837680237780208,-0.6635612950004314,0.5069711365841753,DOWO
fixed,cond,NA,BHCRSH,-0.061781474545366026,0.9569244800951663,-0.06456253950073662,0.9485223116005372,DOWO
fixed,cond,NA,BHCRYF,0.7038908415915874,0.9108312959655634,0.772800456801827,0.43964048303589515,DOWO
fixed,cond,NA,BHCRMF,-0.650073430616521,0.9969423674897143,-0.652067212524427,0.5143578142629897,DOWO
fixed,cond,NA,BHCWRI/WSH,-19.070573055438224,11944.878861498903,-0.0015965480501361196,0.9987261395013876,DOWO
ran_pars,cond,Station,sd__(Intercept),1.664831426891007,NA,NA,NA,DOWO
effect,component,group,term,estimate,std.error,statistic,p.value,Species
fixed,cond,NA,(Intercept),-2.9752658825732308,0.5003985689552721,-5.945792148816423,2.751230757918505e-9,HAWo
fixed,cond,NA,BHCCMF,1.3184899404345698,0.567084653574738,2.3250319544413514,0.020070251607623022,HAWo
fixed,cond,NA,BHCDSH,1.4587003371077552,0.6206959462298415,2.3501045011942185,0.018768141048618934,HAWo
fixed,cond,NA,BHCDYF,0.6788960232984466,0.5847689265737455,1.1609646006264505,0.2456562956243748,HAWo
fixed,cond,NA,BHCDMF,1.1605164682941442,0.5586039267883207,2.0775300935790133,0.037752660697063546,HAWo
fixed,cond,NA,BHCRSH,0.4944194570336937,0.7151908051295657,0.6913112605581156,0.4893699568503556,HAWo
fixed,cond,NA,BHCRYF,-0.6363262010007721,1.1284422448139482,-0.5638978901447333,0.5728236260220303,HAWo
fixed,cond,NA,BHCRMF,0.9743492391155242,0.603631324105285,1.6141462515380975,0.10649570713611567,HAWo
fixed,cond,NA,BHCWRI/WSH,1.272036380921267,0.7049680566446094,1.8043886796455655,0.0711703964549554,HAWo
ran_pars,cond,Station,sd__(Intercept),0.7899423121123595,NA,NA,NA,HAWo
effect,component,group,term,estimate,std.error,statistic,p.value,Species
fixed,cond,NA,(Intercept),-2.6842566549267977,0.46283907167159294,-5.799546363344644,6.649455270611915e-9,NOFL
fixed,cond,NA,BHCCMF,0.12414103779120922,0.6083323422953825,0.20406779183035967,0.838300523098668,NOFL
fixed,cond,NA,BHCDSH,1.1522269654361932,0.5836836605189217,1.9740606828222846,0.04837484328974941,NOFL
fixed,cond,NA,BHCDYF,-0.8449027976083122,0.7247061099621407,-1.165855766901773,0.2436727654985574,NOFL
fixed,cond,NA,BHCDMF,0.30940919687197416,0.5557096299039755,0.5567821398478174,0.5776762879845984,NOFL
fixed,cond,NA,BHCRSH,1.4502962841526057,0.5344066946096743,2.7138437799921067,0.006650752118800807,NOFL
fixed,cond,NA,BHCRYF,0.41915209060145064,0.694258381505028,0.603740771112916,0.5460160030362771,NOFL
fixed,cond,NA,BHCRMF,-1.527109693978475,1.0968507195813062,-1.39226757727014,0.16384138583360736,NOFL
fixed,cond,NA,BHCWRI/WSH,0.015674608756320294,0.8701554919783862,0.018013572172810736,0.9856280261399925,NOFL
ran_pars,cond,Station,sd__(Intercept),0.8543634056099823,NA,NA,NA,NOFL
effect,component,group,term,estimate,std.error,statistic,p.value,Species
fixed,cond,NA,(Intercept),-4.096951803056176,0.7860432959220993,-5.212119770387564,1.8669494545101223e-7,PIWO
fixed,cond,NA,BHCCMF,-0.778031942859206,1.2534200763640169,-0.6207272067287766,0.5347791253123583,PIWO
fixed,cond,NA,BHCDSH,0.7892727796084226,1.0161245203342864,0.7767480892487136,0.4373074087837893,PIWO
fixed,cond,NA,BHCDYF,0.6876686131138762,0.8333798031926536,0.8251563218588186,0.409282847322801,PIWO
fixed,cond,NA,BHCDMF,1.0899054078196915,0.8115223775893622,1.343038020784183,0.1792596628654022,PIWO
fixed,cond,NA,BHCRSH,-0.3800975631283927,1.2794645009214078,-0.29707550530293336,0.7664088645792929,PIWO
fixed,cond,NA,BHCRYF,-0.13564909720287582,1.3029900712162303,-0.10410600986104133,0.9170852215973988,PIWO
fixed,cond,NA,BHCRMF,1.4788257657914996,0.8276317867677271,1.7868160568928566,0.07396722327880322,PIWO
fixed,cond,NA,BHCWRI/WSH,0.15514185102165343,1.3388593625030256,0.1158761370810542,0.9077507081267053,PIWO
ran_pars,cond,Station,sd__(Intercept),1.5059910842396531,NA,NA,NA,PIWO
effect,component,group,term,estimate,std.error,statistic,p.value,Species
fixed,cond,NA,(Intercept),-1.590381387820323,0.29252529652592707,-5.43673113644503,5.426692941338829e-8,YBSA
fixed,cond,NA,BHCCMF,-0.24298725430887755,0.4385516919509074,-0.55406753358525,0.5795326283058257,YBSA
fixed,cond,NA,BHCDSH,0.479552304866617,0.4630728723481385,1.035587125704244,0.3003948007240782,YBSA
fixed,cond,NA,BHCDYF,0.4565234818746067,0.36340335818822855,1.2562445326609932,0.20902732541072655,YBSA
fixed,cond,NA,BHCDMF,0.3263784531408273,0.37810656559110595,0.8631917105977506,0.388032070561865,YBSA
fixed,cond,NA,BHCRSH,-0.12838801446809606,0.4865372974961052,-0.2638811353802199,0.7918715123632214,YBSA
fixed,cond,NA,BHCRYF,0.08233638661413542,0.5110791694235424,0.1611029984004327,0.8720122787123824,YBSA
fixed,cond,NA,BHCRMF,0.04897801050019634,0.42794519900360795,0.11444925802236518,0.9088816682323091,YBSA
fixed,cond,NA,BHCWRI/WSH,0.3173961381780631,0.5456172925269802,0.5817193526034885,0.5607557338695046,YBSA
ran_pars,cond,Station,sd__(Intercept),0.9040042476066967,NA,NA,NA,YBSA
